,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
48157,Texas,Fort Bend,83.0,82.7,83.3,80.8,86.7,81.3,4945,217,211,223,283,190,244,269,33,29,37,44,29,33,260,4,4,5,6,3,4,9,9,9,9,9,9,9,7,12,1345,235,100920,15,41295,7,125,6,344,7,6,8,32,32,33,66266,15,13,16,14425,7,5,8,59,1700:1,5,91661,86734,96588,76306,66700,112112,33,47,38,3,3,4,307,9,8,10,173534,78,77,79,24037,11,10,12,764828,27.7,10.6,154470,20.2,4612,0.6,155715,20.4,718,0.1,187319,24.5,254034,33.2,36627,6,,,50.9,32405,5.5
48159,Texas,Franklin,76.8,74.8,78.7,,,,169,436,365,508,,,,,,,,,,,,,,,,,,11,11,12,12,11,12,12,8,16,15,172,1900,18,259,2,,,19,26,15,40,30,29,32,1190,20,18,23,310,12,8,15,28,3589:1,,44358,38626,50090,,47083,43693,61,70,50,,,,,,,,2929,75,69,80,502,14,9,19,10767,24.0,21.3,394,3.7,118,1.1,99,0.9,4,0.0,1565,14.5,8490,78.9,264,3,1,4,50.4,7331,69.1
48161,Texas,Freestone,78.8,77.5,80.2,78.5,96.9,77.7,294,391,344,438,382,,434,,,,,,,,,,,,,,,11,11,12,11,11,12,12,9,16,61,371,3890,20,1164,6,,,28,20,14,29,32,31,33,2411,24,22,27,556,12,9,15,36,2804:1,,47616,42508,52724,26890,37656,54298,53,24,21,,,,21,21,13,33,5409,75,72,78,696,10,7,13,19625,23.0,19.6,3060,15.6,264,1.3,132,0.7,5,0.0,3022,15.4,13142,67.0,564,3,2,4,48.2,13173,66.5
48163,Texas,Frio,77.9,76.5,79.3,,77.5,77.6,219,413,358,468,,430,394,,,,,,,,,,,,,,,14,14,15,12,12,12,8,6,12,88,566,1530,8,865,5,,,24,19,12,28,34,33,36,2244,25,22,29,468,10,7,13,61,1633:1,24,37853,33521,42185,,34916,67388,79,59,22,,,,11,12,6,21,3174,70,64,76,432,10,6,15,19600,23.6,12.1,589,3.0,200,1.0,491,2.5,6,0.0,15522,79.2,2892,14.8,1986,11,8,14,40.7,3819,22.2
48165,Texas,Gaines,78.7,77.1,80.2,,81.8,76.6,186,365,311,418,,271,426,16,56,32,91,,,,,,,,,,,11,11,11,11,11,11,8,6,12,10,67,2040,10,199,1,,,47,35,25,46,33,32,34,4162,37,33,40,1661,22,17,27,19,5160:1,16,52138,46029,58247,63250,49617,64861,57,54,40,,,,,,,,4364,76,72,81,308,6,3,9,20638,36.0,8.6,335,1.6,218,1.1,87,0.4,17,0.1,8651,41.9,11356,55.0,1838,10,8,13,49.7,11049,63.0
48167,Texas,Galveston,77.5,77.2,77.8,72.9,82.2,77.1,4488,402,390,414,631,282,407,149,47,39,54,83,39,43,142,5,4,6,9,4,4,11,11,11,11,11,11,11,9,12,902,341,53350,17,22766,8,159,16,301,14,12,15,35,34,35,37394,19,17,20,7268,9,7,11,82,1214:1,7,69674,66537,72811,36031,49339,79987,45,44,30,5,4,6,217,14,12,15,77873,66,65,67,14607,13,12,14,335036,24.5,13.8,42641,12.7,2697,0.8,11778,3.5,333,0.1,82332,24.6,192078,57.3,10730,4,3,4,50.7,17915,6.1
48169,Texas,Garza,78.1,75.6,80.5,,79.6,77.0,79,430,339,539,,328,512,,,,,,,,,,,,,,,11,11,12,10,10,11,8,6,12,39,698,630,10,118,2,,,,,,,32,31,33,678,27,24,30,132,12,8,15,15,6528:1,,46587,40570,52604,92604,45806,65708,73,,,,,,,,,,1115,65,57,73,70,5,0,11,6528,17.1,11.2,414,6.3,57,0.9,31,0.5,6,0.1,3396,52.0,2619,40.1,1448,22,17,28,34.5,1443,22.3
48171,Texas,Gillespie,80.6,79.5,81.7,,85.3,80.1,355,308,271,345,,251,324,,,,,,,,,,,,,,,11,10,11,11,10,11,14,10,18,16,71,3300,13,1368,6,,,34,19,13,26,29,28,30,3444,26,23,28,1012,19,15,23,56,1776:1,,58412,51218,65606,,43807,58141,49,,35,,,,27,21,14,30,8234,76,73,79,1375,13,10,17,26646,20.2,29.2,102,0.4,305,1.1,115,0.4,38,0.1,6270,23.5,19871,74.6,1021,4,3,5,51.6,13326,53.7
48173,Texas,Glasscock,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,7,14,,,120,10,276,23,,,,,,,31,30,31,176,22,19,24,63,17,13,22,0,1348:0,,78088,67519,88657,,38333,118125,34,,,,,,,,,,341,72,62,81,19,5,0,20,1348,25.1,15.5,21,1.6,5,0.4,1,0.1,2,0.1,501,37.2,815,60.5,203,15,7,23,45.3,1226,100.0
48175,Texas,Goliad,77.4,75.2,79.6,,84.0,74.6,130,426,347,505,,300,495,,,,,,,,,,,,,,,11,11,12,11,11,11,12,9,17,7,109,1030,14,695,10,,,14,27,15,45,30,29,31,676,16,13,18,178,10,8,13,13,7562:1,,52403,45500,59306,34722,43702,72045,55,9,0,,,,12,32,17,56,2256,82,79,85,131,5,1,9,7562,21.3,22.0,303,4.0,78,1.0,35,0.5,2,0.0,2755,36.4,4370,57.8,64,1,0,2,50.2,7210,100.0
48177,Texas,Gonzales,77.2,76.0,78.5,,79.1,77.1,289,408,360,456,695,382,399,12,54,28,94,,,,,,,,,,,13,12,13,12,11,12,11,8,15,17,103,2480,12,2214,11,,,43,30,22,41,33,32,34,3616,31,28,34,743,13,9,16,53,1899:1,,45052,39686,50418,20820,44451,57922,74,22,11,,,,,,,,4822,69,66,72,664,10,7,13,20893,27.2,16.3,1260,6.0,379,1.8,109,0.5,25,0.1,10652,51.0,8644,41.4,1763,9,7,11,49.5,12930,65.3
48179,Texas,Gray,75.0,73.8,76.1,,83.9,73.2,377,511,459,564,,298,593,13,56,30,95,,,,,,,,,,,12,11,12,11,11,12,11,8,14,22,116,3780,16,1518,7,,,31,19,13,28,32,31,33,3164,27,24,30,769,13,10,16,54,1867:1,14,46599,40613,52585,31042,41071,51620,61,65,42,,,,19,17,10,26,5995,75,72,78,707,9,7,12,22404,25.5,15.9,1074,4.8,348,1.6,151,0.7,1,0.0,6477,28.9,14169,63.2,993,5,3,6,46.6,4369,19.4
48181,Texas,Grayson,76.3,75.8,76.8,73.8,93.5,75.8,2035,435,415,454,534,214,456,71,59,46,74,112,49,57,66,6,5,8,,,,11,11,11,11,11,12,11,8,14,174,167,22220,18,9537,8,32,8,162,19,16,21,31,30,32,16883,23,20,25,3764,12,9,15,70,1425:1,8,54431,49936,58926,30165,47477,55457,54,49,30,4,3,6,92,15,12,18,31863,67,65,69,5161,11,10,13,131140,23.8,17.5,7753,5.9,2372,1.8,1823,1.4,109,0.1,17572,13.4,99160,75.6,3071,3,2,3,51.2,52159,43.2
48183,Texas,Gregg,75.4,74.9,76.0,71.5,93.7,75.4,1923,488,466,511,679,215,487,91,71,57,87,98,53,71,104,8,6,9,13,,8,12,12,12,12,12,12,11,8,14,456,456,26270,21,12592,10,26,7,180,21,18,24,33,33,34,16949,24,22,26,3334,10,8,12,118,845:1,6,47208,44829,49587,29648,41318,56395,60,30,27,10,8,12,130,21,17,25,26844,59,57,60,6205,14,12,16,123367,25.9,15.2,24934,20.2,1228,1.0,1780,1.4,134,0.1,23382,19.0,70752,57.4,4853,4,4,5,51.3,16266,13.4
48185,Texas,Grimes,76.5,75.3,77.6,71.7,80.9,76.7,481,463,420,506,653,338,453,15,61,34,100,,,,,,,,,,,12,12,13,12,12,12,12,9,16,92,400,5210,19,4313,16,,,48,25,19,33,32,31,33,3560,25,22,28,785,12,9,16,39,2553:1,,48023,42729,53317,22097,47981,57034,65,41,34,6,3,10,19,14,8,22,6983,78,75,81,822,10,7,12,28082,22.6,16.8,4297,15.3,269,1.0,115,0.4,25,0.1,6840,24.4,16364,58.3,915,4,2,5,45.4,18331,68.9
48187,Texas,Guadalupe,79.9,79.4,80.4,77.9,81.5,79.5,1597,318,303,334,388,295,325,69,44,34,55,,35,53,64,5,4,7,,5,5,10,10,11,10,10,11,11,9,14,144,116,16890,12,13607,10,36,8,148,14,12,17,31,30,32,16517,18,16,20,3857,9,7,11,26,3801:1,5,66886,62605,71167,73595,52674,73445,41,38,26,3,2,5,79,10,8,13,39219,75,74,77,4625,9,8,10,159659,25.6,13.3,12006,7.5,1556,1.0,3041,1.9,331,0.2,60682,38.0,80481,50.4,3889,3,2,3,50.5,34412,26.2
48189,Texas,Hale,76.9,75.9,77.8,71.8,77.4,77.3,410,408,368,448,695,406,376,16,42,24,68,,,,20,5,3,8,,,,14,13,14,12,12,12,9,6,12,21,77,4440,13,3420,9,10,10,38,15,11,21,32,31,33,5211,29,26,33,1122,11,8,15,59,1707:1,9,43570,39363,47777,37794,41085,52673,72,36,23,,,,16,9,5,15,6774,60,58,63,1154,11,9,14,34134,27.5,13.1,1651,4.8,592,1.7,217,0.6,40,0.1,20278,59.4,11588,33.9,1964,6,5,7,48.1,8379,23.1
48191,Texas,Hall,75.2,71.7,78.8,,,,57,463,343,613,,,,,,,,,,,,,,,,,,16,15,16,15,14,15,12,9,16,,,650,21,412,12,,,,,,,33,32,34,599,36,32,40,116,15,12,19,33,3071:1,,32980,28851,37109,18646,31354,34095,73,,,,,,,,,,779,63,58,67,136,12,6,18,3071,23.0,23.7,246,8.0,45,1.5,13,0.4,2,0.1,1046,34.1,1727,56.2,216,7,4,10,50.9,3353,100.0
48193,Texas,Hamilton,74.5,72.6,76.4,,,,193,580,491,670,,,,,,,,,,,,,,,,,,11,11,11,11,11,12,12,9,17,10,144,1420,17,635,7,,,21,36,22,55,29,28,30,1157,26,23,30,267,15,11,18,83,1203:1,,44230,38437,50023,,24954,51445,54,,20,,,,,,,,2389,76,71,81,202,7,3,11,8422,21.6,25.1,54,0.6,154,1.8,70,0.8,6,0.1,1051,12.5,7129,84.6,226,3,1,5,50.3,5483,64.4
48195,Texas,Hansford,76.7,73.9,79.4,,82.4,74.5,80,462,365,578,,,,,,,,,,,,,,,,,,13,12,13,12,12,12,10,7,14,,,650,12,1985,35,,,17,44,26,70,32,31,32,936,30,27,34,336,20,15,25,37,2724:1,,55761,48284,63238,,30938,46594,57,,0,,,,,,,,1404,73,67,79,143,8,2,14,5447,28.9,14.9,36,0.7,89,1.6,21,0.4,0,0.0,2582,47.4,2761,50.7,835,16,,,48.9,2264,40.3
48197,Texas,Hardeman,75.7,72.7,78.7,,,,73,519,401,662,,,,,,,,,,,,,,,,,,12,12,13,12,12,13,11,8,15,,,640,16,552,13,,,14,50,27,84,32,31,33,615,28,24,31,154,16,12,20,25,3994:1,,39022,34175,43869,13750,39750,42784,80,,,,,,,,,,1150,75,69,81,90,6,1,11,3994,22.2,21.5,204,5.1,47,1.2,22,0.6,0,0.0,929,23.3,2748,68.8,246,6,2,10,49.5,4139,100.0
48199,Texas,Hardin,76.3,75.5,77.0,67.8,80.7,76.4,837,424,395,454,755,,422,35,63,44,88,315,,49,26,5,4,8,,,,10,10,10,11,10,11,10,7,14,60,130,10040,18,5476,10,17,10,93,24,19,29,30,29,31,5907,18,15,20,1148,8,6,10,39,2597:1,,58829,52182,65476,25612,51967,59033,40,64,45,6,4,9,44,16,11,21,16757,81,78,83,1916,10,8,12,57139,24.8,16.2,3119,5.5,345,0.6,379,0.7,13,0.0,3276,5.7,49468,86.6,226,0,0,1,50.8,28163,51.5
48201,Texas,Harris,79.5,79.4,79.6,74.5,84.0,78.9,43762,331,328,334,527,244,342,2720,55,53,57,97,46,47,2978,6,6,6,11,5,5,11,11,12,11,11,11,10,9,11,23445,646,738140,17,259480,6,1517,11,3272,11,10,11,34,33,34,726005,25,24,26,135569,11,10,12,79,1269:1,8,58664,57084,60244,41678,46183,84542,65,49,36,9,8,9,2912,13,12,13,855629,55,54,55,234490,15,15,16,4652980,26.9,10.2,867598,18.6,50001,1.1,340963,7.3,5814,0.1,1998479,43.0,1381864,29.7,491301,12,12,12,50.3,49653,1.2
48203,Texas,Harrison,76.4,75.7,77.1,73.6,84.6,76.3,1043,444,416,472,609,198,429,37,55,39,75,,,,43,7,5,10,,,,12,11,12,11,11,12,13,9,16,96,176,13980,21,2919,4,20,10,114,24,20,29,34,33,35,7924,21,18,23,1815,10,8,13,53,1905:1,7,50584,45836,55332,31113,47188,56412,59,34,31,7,5,10,58,17,13,22,17328,74,73,76,2389,11,9,13,66661,25.5,16.5,13773,20.7,804,1.2,510,0.8,85,0.1,8991,13.5,42223,63.3,1369,2,2,3,51.1,36789,56.1
48205,Texas,Hartley,81.1,78.9,83.2,,,,46,247,180,331,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,10,7,14,,,790,13,542,9,,,,,,,30,29,31,599,23,20,26,232,17,13,22,,,,69000,60387,77613,,39559,69423,56,,,,,,,,,,1067,61,53,69,147,9,3,16,5691,21.0,14.7,372,6.5,40,0.7,37,0.7,1,0.0,1526,26.8,3681,64.7,344,6,,,39.9,3471,57.3
48207,Texas,Haskell,77.6,75.3,79.8,,,,96,457,365,566,,,,,,,,,,,,,,,,,,12,12,12,12,11,12,11,8,15,16,319,940,16,675,11,,,,,,,31,30,32,742,26,22,29,152,13,9,17,,,,35075,30472,39678,16250,27986,49279,73,16,13,,,,,,,,1655,78,65,91,139,7,2,12,5746,18.5,22.2,216,3.8,66,1.1,51,0.9,0,0.0,1678,29.2,3685,64.1,546,10,5,14,46.9,2809,47.6
48209,Texas,Hays,80.5,80.0,80.9,78.9,80.9,80.2,1599,268,255,281,322,274,270,80,43,34,54,,39,43,56,3,3,5,,3,3,11,11,11,11,11,12,9,7,11,280,173,24940,13,9787,6,51,8,163,12,11,14,30,29,31,23728,18,16,21,4195,9,6,11,52,1915:1,7,66525,61784,71266,55966,51291,71839,45,34,23,3,2,4,83,9,7,11,42242,62,61,63,11014,17,15,18,214485,23.2,10.6,7863,3.7,2652,1.2,3692,1.7,318,0.1,83712,39.0,115371,53.8,6888,4,3,4,50.2,49822,31.7
48211,Texas,Hemphill,76.9,74.3,79.6,,,,51,407,302,536,,,,,,,,,,,,,,,,,,11,10,11,11,11,11,10,7,13,,,500,12,75,2,,,14,49,27,82,31,30,32,517,23,20,27,212,15,11,19,50,2012:1,,64338,55775,72901,,34375,85469,41,,,,,,,,,,929,68,62,75,89,7,0,14,4024,31.6,14.3,13,0.3,65,1.6,46,1.1,5,0.1,1334,33.2,2568,63.8,298,8,4,11,50.4,1026,27.0
48213,Texas,Henderson,74.6,73.9,75.2,71.6,91.4,74.0,1647,521,493,548,628,195,547,49,71,52,93,178,,67,42,7,5,9,,,,12,12,12,12,12,12,11,8,15,108,161,14880,19,9657,12,37,15,141,25,21,30,33,32,34,11264,25,23,28,1964,11,8,14,48,2079:1,10,44500,39910,49090,26881,32442,47010,65,47,35,4,3,6,75,19,15,24,22968,75,74,77,3340,12,10,13,81064,21.3,21.9,5064,6.2,745,0.9,550,0.7,83,0.1,10458,12.9,63338,78.1,1626,2,2,3,51.2,47206,60.1
48215,Texas,Hidalgo,82.1,81.8,82.3,87.8,81.4,82.0,6320,287,280,294,,287,359,490,43,40,47,,44,40,525,5,4,5,,,,15,15,16,13,13,14,10,8,12,1125,177,83760,10,164641,21,82,3,611,11,10,11,33,32,34,190141,41,39,43,32802,11,9,13,70,1427:1,9,36978,35349,38607,57632,34956,50810,85,69,27,3,3,4,213,5,4,6,156949,67,67,68,33924,15,15,16,860661,33.0,10.8,3506,0.4,4578,0.5,9408,1.1,366,0.0,793513,92.2,53320,6.2,154158,20,20,21,51.0,39813,5.1
48217,Texas,Hill,76.4,75.5,77.3,70.3,88.5,75.7,610,448,410,486,738,282,468,19,57,35,90,,,,,,,,,,,12,12,12,12,12,12,12,8,16,37,127,6140,18,798,2,16,15,66,27,21,34,31,30,32,5130,27,24,29,1153,14,10,17,25,3984:1,,47162,41924,52400,28295,42888,49096,64,48,29,5,3,9,38,22,15,30,9350,74,72,75,1312,11,9,13,35852,23.4,20.6,2347,6.5,327,0.9,197,0.5,49,0.1,7461,20.8,25200,70.3,1055,3,3,4,50.2,26761,76.3
48219,Texas,Hockley,75.9,74.7,77.1,,75.9,75.6,336,466,415,517,,457,472,12,49,25,85,,,,,,,,,,,12,12,12,11,11,12,10,7,13,9,47,2850,12,3998,17,,,38,23,17,32,32,31,33,3161,24,21,27,664,10,8,13,35,2886:1,,48449,44193,52705,20817,44276,54217,63,43,18,,,,16,14,8,22,5533,69,66,71,545,7,5,10,23088,26.0,14.3,828,3.6,318,1.4,127,0.6,11,0.0,11103,48.1,10757,46.6,980,5,3,6,50.0,9139,39.8
48221,Texas,Hood,78.2,77.4,79.0,,86.9,77.7,855,369,341,396,,261,385,30,64,43,91,,,,30,7,5,10,,,,10,9,10,11,10,11,12,9,16,51,108,8620,16,5010,10,23,13,81,21,17,26,30,29,31,6259,20,18,23,1491,12,9,15,46,2158:1,14,64687,57434,71940,,50870,61103,47,70,21,,,,43,16,11,21,16373,76,74,78,2122,10,8,12,58273,21.3,24.5,440,0.8,560,1.0,532,0.9,50,0.1,7405,12.7,48903,83.9,865,2,1,2,50.9,16811,32.8
48223,Texas,Hopkins,76.9,76.0,77.8,77.4,99.5,76.7,554,415,379,451,420,313,425,21,58,36,89,,,,,,,,,,,12,12,12,12,12,12,12,8,16,41,138,6540,18,2440,7,,,57,23,17,29,32,31,33,5080,25,22,27,1319,14,10,18,82,1217:1,13,44925,39824,50026,34727,36968,53290,61,45,31,4,2,8,28,16,10,22,9209,69,67,71,1292,10,8,13,36496,24.9,18.0,2574,7.1,345,0.9,261,0.7,40,0.1,6174,16.9,26754,73.3,1068,3,2,4,50.8,20965,59.6
48225,Texas,Houston,76.6,75.5,77.8,75.1,94.0,76.5,390,441,395,488,525,,437,,,,,,,,,,,,,,,13,13,13,12,12,13,11,9,15,142,729,5310,23,5436,23,,,52,32,24,42,34,33,35,2520,23,20,25,480,11,8,13,43,2302:1,18,37723,33392,42054,22627,20956,41994,67,41,39,,,,16,14,8,23,5721,69,66,71,1391,18,14,22,23021,19.8,21.6,5787,25.1,151,0.7,155,0.7,2,0.0,2522,11.0,14230,61.8,473,2,1,3,46.6,17440,73.5
48227,Texas,Howard,74.3,73.4,75.2,76.0,75.8,73.2,614,537,494,580,328,458,608,20,62,38,96,,,,22,7,4,10,,,,12,11,12,11,11,11,11,8,14,117,376,5030,14,5607,16,11,10,71,28,22,35,35,34,35,3706,20,17,23,833,10,7,13,89,1126:1,11,46899,41472,52326,26650,39314,56698,59,46,22,8,5,12,38,21,15,29,7508,68,66,70,1125,11,8,13,36040,21.7,12.9,2218,6.2,613,1.7,435,1.2,28,0.1,15278,42.4,17503,48.6,2427,7,6,8,42.8,7025,20.1
48229,Texas,Hudspeth,86.4,80.9,91.9,,,,34,257,175,365,,,,,,,,,,,,,,,,,,17,17,18,14,14,15,11,7,15,,,430,12,2338,67,,,,,,,34,33,35,886,37,33,42,147,15,11,19,,,,39683,34343,45023,,21699,41563,85,,,,,,,,,,665,75,69,81,77,9,1,18,4408,22.7,15.7,90,2.0,82,1.9,69,1.6,7,0.2,3428,77.8,778,17.6,1041,30,23,37,48.6,3476,100.0
48231,Texas,Hunt,75.7,75.1,76.3,70.3,81.8,75.4,1464,457,433,481,737,245,466,62,71,55,91,,68,69,62,8,6,10,,,,12,11,12,12,12,12,11,8,15,97,130,16700,19,4206,5,34,12,146,23,20,27,32,31,33,12622,23,21,26,2454,11,8,13,75,1341:1,8,53421,49020,57822,27030,42708,54015,55,51,40,5,3,7,72,16,13,20,22146,70,68,71,4442,15,13,16,93872,23.9,15.8,7434,7.9,1104,1.2,1426,1.5,159,0.2,15421,16.4,67327,71.7,1863,2,2,3,50.7,48776,56.6
48233,Texas,Hutchinson,74.8,73.6,76.0,,79.6,74.4,366,510,456,564,,404,535,14,62,34,105,,,,,,,,,,,11,11,11,11,11,12,11,8,15,18,102,3500,16,2165,10,,,45,30,22,40,31,30,32,2848,23,20,26,711,12,9,15,33,3054:1,,53465,47394,59536,,45487,52758,47,39,24,7,4,13,17,16,9,25,6202,80,77,82,571,8,5,10,21375,25.6,16.2,536,2.5,468,2.2,144,0.7,18,0.1,5000,23.4,15014,70.2,438,2,1,3,49.7,4998,22.6
48235,Texas,Irion,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,11,7,15,5,380,210,13,429,27,,,,,,,29,28,30,132,15,13,17,49,12,9,16,0,1516:0,,63827,55168,72486,,76667,62321,32,,,,,,,,,,514,79,73,86,83,13,3,23,1516,22.1,21.6,17,1.1,18,1.2,4,0.3,0,0.0,399,26.3,1067,70.4,0,0,0,4,49.1,1599,100.0
48237,Texas,Jack,75.3,73.4,77.2,,,,144,464,386,541,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,10,7,14,10,134,1500,17,1633,18,,,16,26,15,42,32,31,33,1063,24,21,27,268,14,10,17,23,4416:1,,47824,41758,53890,,35195,55522,58,,16,,,,,,,,2524,82,78,86,213,7,4,11,8832,21.8,16.8,347,3.9,100,1.1,50,0.6,10,0.1,1491,16.9,6801,77.0,276,3,2,5,43.9,4813,53.2
48239,Texas,Jackson,78.2,76.8,79.7,,78.5,78.4,204,404,346,462,850,356,404,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,15,15,124,2060,14,609,4,,,29,28,19,41,31,30,32,1854,22,19,25,451,11,8,15,47,2115:1,,49350,43371,55329,42083,44948,67536,54,61,53,,,,10,14,7,25,3650,70,66,73,527,11,6,15,14805,25.5,17.7,871,5.9,126,0.9,175,1.2,7,0.0,4948,33.4,8615,58.2,423,3,2,5,50.4,8701,61.8
48241,Texas,Jasper,75.1,74.1,76.0,72.3,79.9,75.0,635,485,445,525,595,,486,15,44,24,72,,,,,,,,,,,11,11,12,12,11,12,13,10,17,46,157,7760,22,2710,8,16,15,70,28,22,35,32,31,33,3705,19,17,21,891,10,7,13,56,1778:1,,43368,37904,48832,20000,27679,50636,58,61,51,4,2,7,22,12,8,19,8997,75,72,78,745,7,4,9,35561,24.0,19.3,5705,16.0,247,0.7,183,0.5,26,0.1,2379,6.7,26611,74.8,208,1,0,1,50.5,27920,78.2
48243,Texas,Jeff Davis,90.6,84.5,96.8,,,,24,181,103,293,,,,,,,,,,,,,,,,,,12,12,13,12,12,12,13,9,17,,,220,10,107,5,,,,,,,30,29,31,383,30,26,34,25,19,13,24,44,2280:1,,38537,35351,41723,,36500,60000,56,,,,,,,,,,809,80,73,88,34,4,0,10,2280,8.5,33.1,14,0.6,32,1.4,22,1.0,1,0.0,778,34.1,1406,61.7,234,11,4,17,48.9,2342,100.0
48245,Texas,Jefferson,75.8,75.5,76.2,72.6,87.3,75.9,3765,459,444,474,602,211,453,193,80,68,91,114,56,63,216,9,8,10,14,5,7,12,11,12,12,11,12,13,10,15,1189,567,59370,24,20101,8,90,12,271,15,14,17,35,34,36,35416,24,22,27,6078,10,8,12,103,971:1,13,47852,45022,50682,31268,45779,61024,68,50,45,10,9,12,202,16,14,18,58181,62,61,63,11986,13,12,14,256299,24.0,14.1,85396,33.3,2565,1.0,10282,4.0,251,0.1,53224,20.8,103634,40.4,10482,4,4,5,48.7,21196,8.4
48247,Texas,Jim Hogg,78.1,75.9,80.3,,,,56,344,256,452,,,,,,,,,,,,,,,,,,15,15,15,12,12,13,10,7,14,5,124,380,7,901,17,,,11,30,15,54,33,32,34,715,26,23,30,134,8,6,11,,,,32319,27995,36643,,31939,18750,83,,4,,,,,,,,1205,76,72,80,138,9,2,17,5202,30.1,17.4,30,0.6,28,0.5,25,0.5,2,0.0,4828,92.8,291,5.6,293,6,3,9,49.7,922,17.4
48249,Texas,Jim Wells,76.2,75.3,77.1,,76.1,75.9,587,457,419,495,,456,475,18,39,23,61,,,,,,,,,,,14,13,14,12,12,12,10,7,14,25,76,4200,10,3879,9,,,77,27,21,33,33,31,34,5685,24,22,27,1070,9,6,11,54,1858:1,18,40681,35732,45630,,38601,55244,74,,34,10,7,15,36,17,12,24,9447,69,67,72,1372,11,8,14,40871,28.2,15.0,209,0.5,432,1.1,190,0.5,33,0.1,32949,80.6,7285,17.8,1456,4,3,5,50.6,16370,40.1
48251,Texas,Johnson,77.2,76.8,77.6,78.7,83.2,76.4,2141,387,370,404,432,225,417,99,58,48,71,,62,58,100,7,6,8,,7,7,10,10,11,11,10,11,9,7,12,215,165,23310,15,11233,7,48,10,173,16,13,18,30,29,31,20523,21,19,23,4783,11,8,13,43,2324:1,15,61813,57073,66553,52527,50323,63158,53,42,30,3,2,5,95,12,10,15,40981,74,72,76,5101,9,8,11,167301,26.0,13.9,5383,3.2,1622,1.0,1535,0.9,774,0.5,35685,21.3,120771,72.2,4647,3,3,4,50.1,57165,37.9
48253,Texas,Jones,75.3,73.7,76.8,80.3,76.6,74.2,286,447,394,500,,428,487,16,113,65,184,,,,,,,,,,,11,11,12,11,10,11,10,7,13,39,223,3450,17,1767,9,,,52,37,28,49,34,33,35,1960,23,20,26,423,11,8,15,40,2498:1,,44132,39085,49179,21675,40000,51306,64,45,29,,,,21,21,13,32,4162,74,72,76,448,9,6,11,19983,17.5,15.2,2398,12.0,290,1.5,149,0.7,1,0.0,5576,27.9,11642,58.3,225,1,,,37.0,17202,85.1
