,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
48037,Texas,Bowie,75.6,75.0,76.2,75.2,92.1,76.1,1510,469,445,493,525,137,448,70,79,61,99,128,,57,69,8,6,10,13,,7,12,12,12,12,12,12,13,10,16,273,352,21460,23,8124,9,24,9,100,15,12,18,36,35,37,9798,19,17,21,1846,8,6,10,130,771:1,13,49153,45555,52751,27745,29432,51955,59,46,42,8,6,10,86,18,15,23,21583,65,63,67,4016,13,11,15,94012,23.7,16.3,23143,24.6,964,1.0,1215,1.3,86,0.1,7292,7.8,59868,63.7,991,1,1,2,49.6,32791,35.4
48039,Texas,Brazoria,79.0,78.7,79.4,78.7,83.3,77.5,3658,332,321,343,333,252,387,170,45,39,52,69,41,44,146,4,4,5,7,4,4,10,10,10,10,10,10,11,8,14,708,254,48970,15,21468,7,103,10,315,13,12,15,31,31,32,37862,18,16,20,8546,9,7,10,50,1981:1,9,80840,76458,85222,73200,63715,80549,45,38,37,4,3,5,191,11,10,13,84216,72,71,73,10890,10,9,11,362457,26.7,11.5,48868,13.5,3036,0.8,24689,6.8,345,0.1,111057,30.6,171417,47.3,12735,4,4,4,49.4,70552,22.5
48041,Texas,Brazos,81.1,80.6,81.6,75.3,82.5,81.6,1395,275,261,290,538,250,252,83,47,37,58,92,33,44,84,4,4,5,10,3,4,12,12,12,12,12,12,8,7,9,352,193,44640,21,24227,12,36,5,153,10,9,12,34,33,34,27164,19,17,21,4257,9,7,11,53,1873:1,2,46083,42547,49619,32027,37026,52780,57,37,30,3,2,4,79,7,6,9,35247,45,45,46,17946,24,22,26,222830,20.7,8.9,23229,10.4,1502,0.7,14075,6.3,242,0.1,57379,25.8,124468,55.9,9673,5,4,5,49.4,23506,12.1
48043,Texas,Brewster,79.7,77.4,81.9,,81.0,78.0,130,374,304,444,,357,419,,,,,,,,,,,,,,,12,12,12,11,11,12,11,8,15,,,1070,12,1205,13,,,14,22,12,36,30,29,31,1097,20,17,23,194,10,7,14,75,1334:1,,44617,39358,49876,,37711,42802,54,,14,,,,12,26,13,45,2155,55,50,60,371,10,6,14,9337,19.4,21.8,103,1.1,165,1.8,116,1.2,13,0.1,4240,45.4,4692,50.3,263,3,1,5,49.3,3219,34.9
48045,Texas,Briscoe,,,,,,,23,376,230,581,,,,,,,,,,,,,,,,,,12,12,13,12,12,12,12,8,16,,,230,14,782,48,,,,,,,30,29,31,276,34,30,38,72,23,17,29,65,1528:1,,42678,37216,48140,13125,31058,51458,52,,,,,,,,,,504,76,68,83,35,6,0,14,1528,19.6,25.4,46,3.0,11,0.7,5,0.3,0,0.0,388,25.4,1054,69.0,78,5,0,10,50.1,1637,100.0
48047,Texas,Brooks,76.7,74.5,78.9,,,,103,455,362,548,,,,,,,,,,,,,,,,,,18,18,19,14,14,15,11,7,15,11,193,900,13,810,11,,,10,20,10,36,36,34,37,928,24,21,27,130,6,4,8,41,2412:1,,28106,24380,31832,,,,80,,11,,,,,,,,1243,61,57,66,295,17,9,25,7235,28.6,17.6,35,0.5,47,0.6,181,2.5,3,0.0,6497,89.8,509,7.0,668,10,7,13,49.1,2294,31.8
48049,Texas,Brown,75.0,74.0,75.9,,78.6,74.6,718,508,469,548,657,417,521,21,61,38,93,,,,29,10,7,14,,,,12,12,12,12,11,12,12,9,16,46,144,6370,17,5231,14,,,42,16,11,21,34,33,35,4320,20,18,23,813,9,7,12,76,1312:1,15,41538,37900,45176,33561,36399,45705,61,47,28,4,2,7,32,17,12,24,10038,73,71,74,1298,10,8,12,38053,22.4,19.7,1291,3.4,315,0.8,314,0.8,29,0.1,8505,22.4,27239,71.6,474,1,1,2,50.6,15395,40.4
48051,Texas,Burleson,76.6,75.3,77.9,72.8,80.4,76.0,296,426,375,478,652,309,439,10,63,30,116,,,,,,,,,,,11,10,11,11,11,11,11,8,15,25,170,2810,16,702,4,,,34,28,19,39,30,30,31,2219,22,19,24,532,13,9,16,33,3002:1,,47409,42145,52673,29250,54531,57665,64,19,15,,,,16,18,10,30,5126,78,74,82,502,8,5,11,18011,22.3,20.2,2210,12.3,195,1.1,69,0.4,7,0.0,3716,20.6,11701,65.0,487,3,2,4,50.5,13175,76.7
48053,Texas,Burnet,79.1,78.4,79.9,,84.6,78.3,652,346,317,375,,250,374,13,33,17,56,,,,,,,,,,,11,10,11,11,11,11,11,8,15,56,146,6500,15,5568,13,19,14,77,25,19,31,30,29,31,5780,23,20,26,1283,12,9,16,47,2127:1,13,59009,52935,65083,66563,60253,56882,61,64,20,5,3,8,27,12,8,17,12610,76,74,79,1515,9,7,12,46804,21.6,21.8,806,1.7,552,1.2,344,0.7,36,0.1,10530,22.5,34377,73.4,1254,3,2,4,51.1,23800,55.7
48055,Texas,Caldwell,78.0,77.1,79.0,73.9,79.5,77.6,549,404,369,438,561,370,412,16,41,23,66,,,,,,,,,,,13,13,13,12,12,12,10,8,14,79,235,5060,13,2949,8,13,10,60,21,16,28,34,33,35,6162,25,22,28,1131,11,8,14,45,2228:1,13,51895,46191,57599,29198,44921,62380,69,43,19,5,3,8,27,13,9,19,8672,67,64,70,1445,12,9,14,42338,23.7,14.0,2437,5.8,675,1.6,445,1.1,43,0.1,22128,52.3,16823,39.7,1987,5,4,6,49.7,16099,42.3
